,NAME,PHONE NO,COMPANY ORG,LOCATION,BIZ ADDRESS,SHARE CAPITAL,EMAIL,SECTOR,PRODUCT/SERVICES,NO OF EMPLOYEES,TURNOVER
,THREE NITI X KORPS,234(0)8098367527,,Lagos,5 Rasaki Balogun Street,,templar@3nitix.guru,Other Service Activities , ,,
,BETAN HOLDINGS LTD,234(0)8033233365,,Lagos,79 Ogunlana Drive Surulere,,betanholdings@gmail.com,Wholesale/retail trade,Dealer On Electronics And Homes Appliance & Importer,,
,STROM THURMON ENGINEERING & PROJECTS LIMITED,234(0)7033531532,,Lagos,No 6 Louise Solomon Close,,stormthurmon@gmail.com,Other Service Activities ,Procurement And Engineering Services,,
,SURVIEW MARINE AND LOGISTICS SERVICES LTD,234(0)8098942102,,Lagos,Atlantic House 23/27 Wharf Road Apapa,,graham@surviewmarine.com,Transport/storage,"The Company Is Into Freight Forwarding ( Air & Sea), Custom Brokeage, Land And Marine Logistics, Vessel-Ship Handling, Project Management, Transportation, Marine Logistics Services And Procurements",,
,GENDISE ENGINEERING SERVICES LIMITED,234(0)8123983412,,Lagos,3 Ogunlana Street Ketu,,gendiseengineering@gmail.com,Other Service Activities ,"Inspection Services, Corrosion Prevention & Protection Services",,
,AIDAN PARTNERS,234(706)648197,,Lagos,18 Femi Okunnu Road Formerly Cooper Road,,info@aidanpartners.com; kunle.ajagbe@aidanpartners.com,Other Service Activities ,Engaged As Leading Commercial Law Firms,,
,GOZIRIDANIEL GLOBAL CONCEPT LIMITED,234(0)8033636649,,Abia,80 Hospital Road,,goziridaniel@gmail.com,Other Service Activities , ,,
,SAMBLIZ INTERNATIONAL MULTI SERVICES LIMITED,234(0)8132593904,,Lagos,Nim Building 22 Idowu Taylor,,samblizltd@gmail.com; blizsam@yahoo.com,Petroleum downstream,"Oil And Gas Servicing Copany- Procurement, Manpower Supply, Secrity& Logistics, Outsourcing And Expeditizing Company",,
,ELFREN INTEGRATED LTD,234(0)8035427067,,Lagos,"10B Osaro Isokpan Street Off Fola Osibo, Lekki Phase 1",,info@elfrenltd.com,Transport/storage,"Procurement, Technical Manpower, Offshore Operations, Heavy Lift Maintenance, Fabrication And Offshore Logistics",,
,ZAHIR INTEGRATED COMPANY LIMITED,234(0)8066444278,,Lagos,"21, Creek Road Apapa",,zahirintegratedltd@gmail.com,Petroleum downstream,Deals On Oil And Gas Also On Export,,
,EMKAUZ IT SERVICES,234(0)8098574398,,Lagos,Suite 86 Dolphin Plaza Dolphin Estate,,emeka@emkauzits.com,Other Service Activities , ,,
,DOCI HEALTHCARE LTD,234(0)7034029629,,Lagos,"No 3 Alpha Lane, Oceanbay Estate Lafiyaji, Lekki",,docihealthcare@gmail.com,Other Service Activities ,Healthcare Applications,,
,REANSTONE NIGERIA LIMITED,234(0)803503838,,Lagos,7 Ibiyinka Olorunbe Close Victoria Island,,info@reanstone.com,Other Service Activities ,"Engineering & Project Management, Asset Integrity Testsprocess & Pipeline Services And Procurement Services",,
,LUKAABZ ENERGY SERVICES NIGERIA LIMITED,234(0)7033962020,,Lagos,Princess Plaza Addo Road,,info@lukaabzenergy.com,Petroleum downstream,"Service Provider Of Oil & Energy Services, Technical Staffing Services, Administrative & Immigration Services, Technical Inspection Services, Safety Equipment/Material Supply Services, Consulting & Training, Marine/Maritime/Logistics Services",,
,DSV-SWIFT FREIGHT INTERNATIONAL NIGERIA LIMITED,234(1)45451964,,Lagos,"11B Burma Road, Saima Building Apapa",,oluremi.ajayi@ng.dsv.com,Other Service Activities , ,,
,DELEGATE OIL & GAS LTD,234(0)8033277848,,Lagos,"Block 1, House D Millennium Estate",,info@delegateong.com,Transport/storage,"Haulage Services, Equipment/Materials Supply Services, Other Oil & Gasrelated Services",,
,PRUDIA LIMITED,234(0)8032949646,,Lagos,"2, Ajayi Street Pedro",,bukonla.kolawole@prudialtd.com,Petroleum downstream,Oil & Gas Services & Export Of Agricultural Products,,
,SLIVAPP LIMITED,234(0)8188523430,,Lagos,Block C11 Ateere Way Lagos State Small Scale Industrial Estate,,gbolahan@slivapp.com,Other Service Activities , ,,
,ZDX ENERGY LIMITED,234(0)8119999979,,Lagos,"1, Ola Adigun Street New Road",,info@zdxenergy.com; Jeffery.Okwunwa@Zdxenergy.Com,Other Service Activities ,Installation And Maintenance Services - Mechanical Installation/Maintenance & Materials,,
,TRUSTIT LIMITED,234(0)7084014911,,Lagos,"9, Sule Abore Street Ojodu Berger",,contact@trustitlimited.com,Other Service Activities , ,,
,FOUNTAIN SPRINGS INTERLINKS LIMITED,234(0)8029663367,,Lagos,"Ikota Shopping Complex By V.G.C, Ajah Lekki, Epe Expressway",,fountainsprings@yahoo.com; chiazorlawrence@yahoo.com,information & Communication,Communication Service,,
,ITSYNC SYNERGY LTD,234(0)8077820498,,Lagos,"Block 4, Plot 2B Fatai Idowu Arobieke Street",,team@itsync.ng,Other Service Activities , ,,
,ECLAT OIL & GAS INT'L VENTURES LTD,234(0)9033868778,,Lagos,"Plot 16, Block 128B, New Creation Road Off Hon Adedeji Street, Lekki Phase 1",,contact@eclatoilandgas.com,Petroleum downstream,"Eclat Is An Oil And Gas Service Provider Dedicated To Using The Best Of New Technologies For The Exploration, Production And Distribution Of Hydrocarbon And Energy. We Specialize In Anti- Corrosion Engineering",,
,SANIMARA BUSINESS SERVICES LTD,234(0)8034206970,,Lagos,"4, Emily Akinola Street",,tofunmi@sanimara.com,Other Service Activities , ,,
,SIGNORA BEAUTY SUPPLY LIMITED,234(0)8033005759,,Lagos,3 Yinka Bello Street Lekki Phase I,,signorabeautysupply@yahoo.com;signoraclothing@yahoo.com,Wholesale/retail trade,"Babies & Kiddies Products, Beauty Salon, Cosmetic Product And Offering Children Lotions, Children Soap, Hair Cream",,
,STREET PEDDLERS LTD,234(0)8035075062,,Lagos,"Block I-297 ,Ikota Shopping Complex Ajah",,admin@streetpeddlerltd.com,Other Service Activities , ,,
,ASHCORE COMMODITIES LTD,234(0)8177052423,,Lagos,"6, Efunleye Street Adeniyi Jones, Ikeja",,info@ashcore.co,Other Service Activities , ,,
,YAN GAMES LIMITED,234(0)9095635173,,Lagos,10A Yeye Olofin Street Off Rasheed Alaba Williams Street,,fara@yantrivia.com,Other Service Activities , ,,
,RADLAB TECHNOLOGY,234(0)7036859599,,Lagos,18 Babani Street Apapa Road,,lumiwazeare@gmail.com,Other Service Activities , ,,
,GREENOV8 GLOBAL PLATFORMS LIMITED,234(0)8187466232,,Lagos,2 Pade Odanye Close Harmony Enclave Off Adeniyi Jones,,info@kaara.io,Other Service Activities , ,,
,AVILILY LIMITED,234(0)8161703004,,Lagos,"No 3, Olusola Adegbemile Street, Solomade",,olumideadegbemile@gmail.com,Other Service Activities , ,,
,KRS ENERGY TRADING SERVICES LIMITED,234(0)803521439,,Lagos,5A & B Association Avenue Dolphin Estate,,krsenergytsl@gmail.com,Other Service Activities , ,,
,QUALISPECT NIGERIA LIMITED,234(0)8115007554,,Lagos,"334, Ikorodu Road By Idiroko Bust-Stop Maryland",,info@qualispect.com,Other Service Activities , ,,
,CREED INTERNATIONAL COMMS LIMITED,234(1)2908153,,Lagos,Plot 24 Ladipo Oluwole Street Off Adeniyi Jones,,Ovic49@yahoo.com,Other Service Activities , ,,
,RADI-8 LIMITED,234(0)8023021821,,Lagos,46 Adebayo Mukuolu Street Anthony Village,,radi8lagos@ymail.com; tonikan11@gmail.com,information & Communication,Advertising,,
,HALLE MCGREEN LIMITED,234(0)8058445339,,Lagos,13 Keffi Street Off Awolowo Road,,admin@hallemcgreen.com,Other Service Activities , ,,
,WILIX INTEGRATED SERVICES LTD,234(0)9093020755,,Lagos,17 Salaudeen Akano Street Ogudu Gra,,info@wilixisl.com,Petroleum downstream,"Oil Fields Support Services, Procurement And Supply Of Oil And Gas Tools And Equipment, Valves, Safety Equipment, Ppes, And Parts. Logistics, Freightage And Warehousing",,
,FLUTTER CONNECT LTD,234(0)8062209684,,Lagos,"No: 38 Old Otta Road, Agege",,ayo@trueflutter.com;dare@trueflutter.com,Other Service Activities , ,,
,MEDIKARE NIG. LTD,234(1)17100083,,Lagos,Adebisi Popoola Crescent Lekki Phase 1 Victoria Arobieke Street,,joachim.uche@medikare.ng,Other Service Activities , ,,
,ULTRABAESIC TECHNOLOGIES,234(0)8119141115,,Lagos,"The Landmark, (2Nd Floor) Km.24 Lekki-Epe Expressway",,st.deemene@gmail.com,Other Service Activities , ,,
,EMPORG LIMITED,234(0)8023130954,,Lagos,"22, Little Road, Sabo",,info@emporg.com,information & Communication,"Support,Security And It Infrastructure",,
,JOPPA TECHNOLOGY SERVICES LTD,234(0)8023254954,,Lagos,3 Nurudeen Dali Sangotedo Road,,wale@jts-africa.com,information & Communication,Provide Hardware And Software Services,,
,NATIVEBRANDS TECHNOLGY AND DESIGN AGENCY LIMITED,234(0)8133038540,,Lagos,"No. 301, Bornu Way, Alagomeji , Yaba",,apple@nativebrands.co,Other Service Activities , ,,
,KAMTEK ENGINEERING SERVICES LIMITED,234(0)8034246404,,Lagos,Km 70 Lekki/Epe Expressway Ibeju-Lekki,,info@kamtekserve.com,Other Service Activities , ,,
,SAFESAIL ENERGY SERVICES LIMITED,234(0)8013259390,,Lagos,"16 Victoria Arobieke Street, Lekki Phase 1 Brasar'S Place, Off Admiralty Way",,safesailenergy@gmail.com,Other Service Activities , ,,
,PAN - AFRICAN CATERING SERVICES LIMITED,234(0)8171593084,,Lagos,"Murtala Muhammed International Airport Road Airport Road, Ikeja",,info@pacs-nigeria.com,Other Service Activities , ,,
,KODE SOLUTIONS MULTI SERVICES LIMITED,234(0)8055096969,,Lagos,"C6 Unit 4 Lekki Gardens Chevron 2, Lekki",,info@kodesolutions.com; kayode@kodesolutions.com,Other Service Activities , ,,
,ELITE LOGISTICS AND DEVELOPMENT SERVICES LTD,234(0)8034708916,,Lagos,No 11B Fatai Idowu Arobieke Street Lekki Scheme1,,engr@elitelogisticsdevelopment.com,Transport/storage,"Logistics Services, Welding And Fabrication, Paints/Coating/Sealant",,
,DEUX ENERGY LIMITED,234(0)7014242224,,Lagos,Ikota Shopping Complex Suite D160 Lekki-Epe Expressway,,approvals@deuxenergy.com,Other Service Activities ,"Inspection Services, Procurement, Installation & Maintenance Services",,
,CITYBUD LIMITED,234(0)7080814232,,Lagos,14 Olufemi Olatunji Street Lekki,,patrice.arukwe@citybudng.com,Other Service Activities , ,,
,LUNA MAQUIS SERVICES LIMITED,234(0)9082918895,,Lagos,"No 5, Dele Ashiru Crescent Isolo",,lunamaquis@yahoo.com,Other Service Activities , ,,
,UMG UNIVERSAL MUSIC INTERNATIONAL COMPANY LIMITED,234(0)8098156220,,Lagos,"Plot 45, Oyibo Adjarho Street Lekki Phase 1",,ezegozie.eze@umusic.com,Other Service Activities ,"Engaged As A Music Recording, Publishing, Merchandising, And Audio-Visual Content",,
,MANUCHAR TRADING HOUSE INTERNATIONAL LIMITED,234(0)8172380005,,Lagos,"2, Olayiwola Street Off Billings Way, Oregun",,nigeria@manuchar.com; nigeria.finance@manuchar.com,Transport/storage,"Engaged As Logistics And Transportation Company; Trading And Distribution Of Chemicals Products, Steel, Paper, Polymers",,
,DOCTORCARE247,234(0)7088143378,,Lagos,"Plot 78, Block 28 Babatope Bejide Street",,"info@doctorcare247.com.,",Other Service Activities , ,,
,ARTS IN SCIENCE LTD,234(0)8131748631,,Lagos,"26 Swern Street, Adiva Plainfields Estate Ibeju",,nyime2@2gmail.com,Other Service Activities , ,,
,H & H MERCHANTS GENERAL SERVICES LIMITED,234(0)9080096666,,Kano,Alaji Xpress #6 Hotoro Kano Sago Bakin Zuwo Junction,,barau2004@icloud.com,Other Service Activities , ,,
,EMDEX LIMITED,234(0)8023060065,,Lagos,"No. 25, Osolo Way Off Murtala Mohammed Int'L Airport Road",,editor@emdexonline.com,Other Service Activities ,A Reference Source Of Drug & Therapeutic Information Used By Healthcare Professionals In And Outside Nigeriaemdex Is Available In Prints & Digital,,
,INNOVATION HARBOUR LIMITED,234(0)8135693957,,Lagos,21St Century Building 1A Adekola Okunleye Crescent Off Cmd Road,,contact@iharbour.ng; kolapo@iharbour.ng,information & Communication,Online Streaming Service,,
,SPORT RIM MARKETING SOLUTION,234(0)8027258634,,Lagos,82 Wuraola House Allen Avenue,,info@idigihosting.com,Other Service Activities , ,,
,VALUED SEED MODEL SCHOOL AND EDUCATIONAL SERVICES LTD,234(0)8037265490,,Lagos,44 Emily Akinola Street,,valuedseed@gmail.com,Other Service Activities , ,,
,JAPHET AND SONS GLOBAL EXPORT COMPANY LTD,234(0)8023286689,,Lagos,"53 Captain Davies Road, Ayobo Ipaya",,japhetnsonsexport@outlook.com,Other Service Activities , ,,
,CHINEX ENTERPRISES COMPANY LTD,234(0)8181492171,,Lagos,35 Taiwo Ibrahim Street Igando,,chinexnigeria@yahoo.com,Agriculture,Export Cow Horn,,
,WILLIFAM INVESTMENT COMPANY,234(0)8091220344,,Abia,111 Seven-Up Road Aba Abia State,,willifaminvestment.co@gmail.com,Financial Services,Engaged In Providing Investment Advisory Services,,
,WAYCREST INTEGRATED SERVICES NIG LTD,234(0)8022234907,,Lagos,"10A Apapa Lane, Dolphin Estate",,i.itie@waycrestservices.com,Other Service Activities , ,,
,AVENA ENTERTAINMENT LIMITED,234(0)8037269339,,Lagos,"M. O. Q 30, Nigerian Army Cantonment Maryland,Ikeja",,info@avena-games.com,Other Service Activities , ,,
,KWASOFT LIMITED,234(0)9056368371,,Lagos,"11, Ayo Alabi Street",,info@kwasoft.com,Other Service Activities , ,,
,HOSEYARD LTD,234(0)8183862266,,Lagos,1 Abimbola Way Isolo Industrial Estate,,hoseyard.willsonazuoma@gmail.com; Hoseyard@gmail.com,Other Service Activities ,"A Hydraulics Specialty Company, Hydraulic Lines Design & Installation Sales & Assemblage: Flexible Hoses, Steel Pipes",,
,E OYETOE TRADING STORE,234(0)8090657955,,Lagos,"10, Akapo Street",,oyetoe@gmail.com,Manufacturing,Distributor and Importer and Manufacturer of Toys,,
,BALARISI LIMITED,234(0)8033423727,,Lagos,No. 26 Alhaji Shelle Street Off Lekki-Epe Expressway,,balarisilimited@gmail.com; kenneth.jamgbadi@balarisiltd.com,Petroleum downstream,"Oil & Gas  Services Provider, Engineers & Consultants",,
,NIKLOV LTD,234(0)7066586147,,Lagos,"27, Salvation street Isheri idimu",,info@niklov.com,Other Service Activities , ,,
,DANNYTOUCH TECHNOLOGIES,234(0)8131031630,,Lagos,67 kiri Kiri Road Olodi-Apapa,,info@dannytouch.com.ng,Other Service Activities , ,,
,FORTIS ENGINEERING SERVICES LIMITED,234(0)8118919888,,Lagos,"16, George Omonubi Street Oniru, Lekki",,info@fortisengineering.net,Petroleum downstream,Provides Engineering Services For Oil & Gas Companies In Nigeria,,
,WILLS SMART VOIP LIMITED,234(0)8148375102,,Lagos,No 18 Ade Omo Ade Street Opposite Apata Plaza Abaranje,,willsk@willssmartvoip.com,Other Service Activities , ,,
,IRI MULTI RESOURCES LIMITED,234(0)7057616867,,Lagos,5 Akpakpava Road Benin Alpha Beach Road,,imrlimited@hotmail.com,Construction,"Supply Chain Management, Engineering Services, Facility Maintenance Construction Services Etc",,
,TECHNO FIBRE MARINE SERVICES LIMITED,234(0)8033048526,,Lagos,"No 7 Sola Ayo-Vaughan Road Gra, Apapa",,technofibremarine@yahoo.com,Other Service Activities ,"We specialize in quality life-saving, fire-fighting and industrial safety equipment sales/servicing Servicing/Supply Of Marine Safety Equipment",,
,RHOLF PROFESSIONAL CONSULT LTD,234(0)8065757476,,Lagos,"14, Adeshina Street Off Awolowo Way",,app1@rholfgroup.com,Other Service Activities , ,,
,EZIMO INTERNATIONAL (NIGERIA) LIMITED,234(0)8034645951,,Lagos,"1/3 Alli Tinubu Square, Alli Street Lagos Island",,ogofredrickezike@yahoo.com,Other Service Activities , ,,
,JENICS GLOBAL VENTURES,234(0)8023276503,,Lagos,"Shop 4, Agege Local Government Shops Aluminium Village",,jenicsglobalventures04@gmail.com,Other Service Activities , ,,
,CONNECT WITH PALS SOFTWARE & SOLUTIONS,234(0)7088561062,,Lagos,1st Floor Dominion Plaza Igbo-Efon,,info@connectwithpals.com,Other Service Activities , ,,
,LEEDS AND CUBE RESOURCES LIMITED,234(0)8039170111,,Lagos,12 Akintunde Adeyemi Drive Lekki Phase 1 11 Atinuke Aguda Ogba Ikeja,,info@leedsandcube.com,Other Service Activities , ,,
,FINT TECHNOLOGY AFRICA LTD,234(0)8090701622,,Lagos,22 Cameron Road,,nnamdi.okeke@kraneum.com,Other Service Activities , ,,
,TOTAGO TECHNOLOGIES LIMITED,234(0)8022 22575,,Lagos,"Plot 8, Impressive Close, Off Lateef Dosunmu Central Business District, Alausa, Ikeja",,africanoperations@totagotech.com; eobayi@totagotech.com,Other Service Activities , ,,
,SEAWORLD AGENCY LTD,234(0)8033012043,,Lagos,Alahun Osumba Street Maza-Maza,,info@seaworldagency.com,Transport/storage,Engaged Into Logistics,,
,DRIVEME PROFESSIONAL CHAUFFEURS LIMITED,234(0)8188093574,,Lagos,House A4 Goshen Estate,,info@driveme.ng,Transport/storage,Provides Chauffeurs Services(Cars And Drivers For Foreigners And Locals) For Pick Up And Drop,,
,MATOLA INTERNATIONAL CONCEPT LIMITED,234(0)8033743645,,Lagos,"66, Campbell Street",,miconceptltd@yahoo.com,Petroleum downstream,Oil and Gas Services,,
,DAID MERCHANDISE LIMITED,234(0)8023392995,,Lagos,"Limca Way Isolo Industrial Estate, Isolo",,daidengeriing@gmail.com,Other Service Activities ,"Supplier Of Transmission Equipments And Accessories; Engaged Into Providing All Engineering Solutions; Distribution, Supply And Services Of Industrial Equipment, Spare Parts And Mechanical Power Transmission Products ; Distribution And Supply Of Industrial Bearings & Seals; Conveyor Belts & Rollers; Tramonita Tools; Power Transmission Products; Cyclo Gear Drives; Industrial Motors & Electrical Products; Table-Top Conveyor Chain; Pulley Lagging Materials; Vulcanizing Solution",,
,LEIRBAG ADKAN VENTURES LIMITED,234(0)8037221982,,Lagos,13 Musa Aina Estate,,leirbagadkanventuresltd@yahoo.co.uk,Other Service Activities ,"'Engaged Into Engineering Supplies And Servicesservice Provider To The Cement Manufacturing Sector Wholsale Xerox Copiers And Products, Xerox Consumables, Paper'",,
,KEVDEL LOGISTICS LTD,234(0)8034021945,,Lagos,H-288 Gra Road,,dele.ojeomougha@gmail.com,Transport/storage,Engaged Into Logistics And Supply Chain Management,,
,ATLAS COPCO NIGERIA LTD,234(0)8090500045,,Lagos,110-114 Atata Oshogi Express Way Isolo,,info.nigeria@ng.atlascopco.com,Mining & Quarrying ,"Providing Mining And Rock Excavation Equipment, Compressor Equipment And Construction Equipment",,
,COASTWISE LIMITED,234(0)8150730350,,Lagos,Randle Road,,info@coastwiselimited.com,Transport/storage,"Engaged Into Freight Forwarding, Import And Export Handling And Haulage Services",,
,REMO COMMERCIAL INTERNATIONAL LIMITED,234(1)7736083,,Ogun,Paddy Arikawe Avenue,,info@remocommercial.com,Other Service Activities ,Engaged In Unique Premium Service In Accident Management And Collision Repair,,
,KRISTO LIGHT NIGERIA LTD,234(0)8023768464,,Ogun,Akarigbo Street,,christlight_niglimited@yahoo.com,Manufacturing,Engaged Into Metal Fabrication Business,,
,TOMPSPRINTS PRODUCTION,234(0)8023222475,,Lagos,Odunsanmi Street,,tomsprints@gmail.com,Manufacturing,Engaged Into Printing Services,,
,MONSIEUR FHEMMOS VENTURES LTD,234(0)8037234157,,Ogun,Akarigbo Street,,monsieur4fhemmos@yahoo.com,Information & Communication,Import And Export Of General Goods; Supply Labours To The Companies; Consultancy,,
,NIKEOLU VENTURES LIMITED,234(0)8028325131,,Ogun,Adagba Street,,nikeoluventures@gmail.com,Other Service Activities ,"Engineering Services, Trading Of Precious Stones",,
,BERTWALE AND SONS NIGERIA LIMITED,234(0)8028875631,,Lagos,Abeokuta Motor Road,,freewalx_030@yahoo.com,Other Service Activities ,Engaged In House Keeping And General Contracting Business,,
,VENWIT NIGERIA LTD,234(0)8023134278,,Lagos,Ogunlana Drive,,info@venwit.com,Information & Communication,Enterprise It Management Solutions,,
,LUBESERVE ENGINEERING LTD,234(0)8025019462,,Lagos,Ambimbola Street Isolo Industrial Estate,,info@lubeserve.com.ng,Petroleum downstream,Lubrication Service,,
,SEYIC REFACTORY NIGERIA LIMITED,234(0)8037374909,,Ogun,Onigbedu Road,,info@seyicrefractory.com; seyic123@yahoo.co.uk,Other Service Activities ,"Brick Lining And Monolithic Installation, Welding And Fabrication, Wrecking And Cleaning, Boiler Repairs",,
,M3 INTERCONTINENTAL LIMITED,234(0)8036051111,,Lagos,39 Olonade Street,,gbleshi@gmail.com,Petroleum downstream,Marketing Of Petroleum Product; Construction Of Industrial Plants; Engaged Into Fleet And Plant Management,,
,UNICONTROL HANDLING SERVICES (NIG) LIMITED,234(1)8979434,,Lagos,Adebola House Opebi Ikeja Opebi Road,,obaalese@yahoo.com,Transport/storage,"Logistics, Engineering Service, Equipment Leasing And Equipment Servicing Industry",,
,SAVVY TECH LIMITED,234(0)8091902778,,Lagos,First Avenue Ismail Estate,,s.awoniyi@savvytechweb.com,Construction,General construction machinery and equipment,,
,RECORE LIMITED,234(0)8094202913,,Lagos,James Oluleye Street,,contact@recorelimited.com; recoreltd2004@yahoo.com,Other Service Activities ,"Engaged In Training And Development Services, Outsourcing Services",,
,GODFREY M. OSHIEKU TECHNICAL NIGERIA LIMITED,234(0)8165682612,,Ogun,Araromi Street,,oshiektech@gmail.com,Other Service Activities ,Engaged Into Electrical And Mechanical Installation,,
,ADDED LIMITED,234(1)8425210,,Lagos,All-Seasons Plaza (Ruby Block) Lateef Jakande Road Agidingbi,,info@addedlimited.com,Other Service Activities ,"Engaged As Audio-Visual Company, Provides Audio-Visual Solutions; Provides Audio-Visual Aids",,
,PROCESS PLANTS AND MACHINES SERVICES LTD,234(0)8037270395,,Lagos,162 Ikorodu Road,,ppmsltd@yahoo.com,Other Service Activities ,"Engineering Service, Mechanical And Electrical; Electrical and mechanical instrumentation and erection",,
,SARKIS BADOLA INVESTMENT COMPANY,234(0)8033376233,,Ogun,Sapon P O Box 2391,,sarkisbadolayahoo.co.uk,Manufacturing,"Producer Of Construction , Mobile Equipments",,
,MOSHTOY NIGERIA LIMITED,234(0)8033246572,,Lagos,Old Yaba Road,,moshtoy04@yahoo.co.uk,Other Service Activities , ,,
,TEEJAY TECHNICAL & IDEAL SERVICES LIMITED,234(0)8033566829,,Lagos,Ewekoro Market,,teejaytianiyu@gmail.com,Construction,Engaged Into Maintenance And Construction Business,,
,ALACRITY PRODUCTION SYSTEMS LIMITED,234(1)2139470,,Lagos,33 Landbridge Avenue Oniru Lekki,,logistics@alacrityproduction.com,Petroleum downstream,Oil Field Contractors And Services,,
,MICH - ELI BAKARE NIGERIA LIMITED,234(0)8035301627,,Lagos,"Wisdom Way Abeokuta Expressway, Off Lagos",,adewalebakare15@yahoo.com,Other Service Activities , ,,
,TARPAULIN INDUSTRIES (WEST AFRICA) LIMITED,234(0)8033233498,,Lagos,Burma Road,,tarpind@yahoo.com,Other Service Activities ,"Import, Wholesale And Retail Of Tarpaulin; Factory Uniforms; Shirts And T-Shirts",,
,STAR COMPRESSORS SPARES LTD,234(0)8033431631,,Lagos,Ademola Ogunsola Street,,starcompressors.co.s@yahoo.co.uk,Other Service Activities ,Engaged In Electrical And Mechanical Commission,,
,DAIKAF NIGERIA LIMITED,234(0)8037176091,,Lagos,Adebambo Street,,daikaf@yahoo.com,Other Service Activities ,"Engaged In Civil Engineering, Electrical Engineering, Mechanical Engineer Services",,
,SANNI OJO PARTNERS,234(1)7390258,,Lagos,George Alade Lane,,sop@sop-consulting.com,Other Service Activities ,Consulting Engineering And Project Management Services,,
,FRADRO INTERNATIONAL LIMITED,234(1)2904374,,Lagos,Foreshore Towers 2A Osborne Road,,oilfieldservices@fradrogroup.com,Petroleum downstream,Petroleum Products Marketing,,
,HEIDELBERG (NIG) LTD,234(1)7746782,,Lagos,Association Avenue,,olusola.iraoya@heidelberg-ng.com; hnl@heidelberg-ng.com,Manufacturing,"Engaged Into Manufacturing And Distribution Of Printing/Publishing Equipment - Computer-To-Plate (Ctp); Digital Proofers; Plate Makers; Saddle Stitcher, Perfect Binder; Polar Paper Cutters; Stahl Folding Machines; Stahl Threadsealing; Gallus/Arsoma Range Of Narrow Web Presses (Flexo, Varnish Uv Etc.)",,
,VIRTUAL XCHANGE LIMITED,234(0)8120663535,,Lagos,Tokunbo Omisore Street Lekki Phase 1,,kaycee@vx-group.com,Information & Communication,It And Software Solutions,,
,ENTERPRISE LOGISTICS SPECIALE LIMITED,234(1)7368751,,Lagos,"No. 9, Bayo Ajayi Street Off Akeem Balogun Street, Agidingbi",,info@entralog.com,Other Service Activities ,"Hardware And Software Vending To Financial Institutes And Corporate Bodies, Sales And Installation Of Trackers, On Vehicles, Automated Teller Machines (Atm) Sales, Technical Support And Helpdesk Assistance To Cash, Managed Service,Cash Recycling For Financial Institutions And Corporate Bodies",,
,ADNEAD INVESTMENT LIMITED,234(0)8039457633,,Lagos,Owoseni Street Oshodi,,adnead@yahoo.com,Construction,"Into Construction, It Services To Clients",,
,RINGIER MEDIA NIGERIA LTD,234(1)2951053,,Lagos,"3, Iweanya Ugbogoh Lekki Phase 1",,samson.fagbamigbe@ringier.ng,Information & Communication,Digital Marketing And Media,,
,QSR CONSULT LTD,234(0)7038857713,,Lagos,Sunflower Street Northern Foreshore Estate,,info@qsrconsult.com,Other Service Activities ,"Engaged As Consultants In Restaurants, Helps To Setup Restaurant, Training Of Staffs In Restaurants, Recruitment Of Staffs.",,
,GEA WEST AFRIA LIMITED,234(0)7064452280,,Lagos,"7A, Lateef Jakande Road Agidingbi Ikeja",,andreas.krueger@gea.com,Information & Communication,Providing Technology Services For The Food Processing Industry,,
,SARATOGA ENERGY RESOURCES LTD,234(0)8074119232,,Lagos,"10A, Mayaki Usman Street Lekki Phase 1",,info@saratogaenergyresources.com,Petroleum downstream,Oil & Gas/Power Energy Service Provider,,
,BYTESIZE LTD,234(1)3424209,,Lagos,79 Oduduwa Crescent GRA,,byteus@bytesizeng.com,Information & Communication,"Digital Communications Agency, Digital Marketing Consultants",,
,AUTONATION NIGERIA LIMITED,234(1)4607900,,Lagos,"Km 31, Lekki Epe-Express Way Elemoro",,info@autonation-africa.com; mail@autonation-africa.com,Transport/storage,"Dealer Of Car, Spare Parts, Car Service & Maintenance (A Leading Automotive Services Provider)",,
,DTL SYSTEMS LIMITED,234(0)8022231595,,Lagos,Obasi Ikenga Close,,sales@dtlsystems.com,Information & Communication,Enggaed In It Consulting And Secuirty Systems Services,,
,TECHNOPEAK VENTURES (NIGERIA) LIMITED,234(80)8034059978,,Lagos,Odu Onikosi Avenue Ijanikin Opposite Aocoed Badagry Express Way Ijanikin,,techno_peak@yahoo.com;sales@technopeak.com.ng,Construction,Engaged as construction engineeringRETAILOF SAFETY SYSTEM  AND ENGINEERING CONSULTING,,
,MULTIFREIGHT NIGERIA LIMITED,234(0)8065448883,,Lagos,"2A Azare Crescent Off Liverpool Road, Gra",,irene.isichei@multifreightnig.com,Construction,"Logistics Solution Services, Freightforwarding And Customs Brokerage",,
,GEOWORKS ENERGY RESOURCE LIMITED,234(0)8053333343,,Lagos,Adeojo Street Wemabod Estate,,geoworksenergy@gmail.com,Petroleum downstream,Engaged Into Marketing Of Petroleum Products,,
,ROCHE PRODUCTS LIMITED,234(0)8058207198,,Lagos,21 Mobolaji Bank Anthony Way Wayetiebet'S Place,,abiola.idowa@roche.com,Other Service Activities ,Trading Of Pharmceauticals Products,,
